2nd Activator, 3rd Activator, 2nd Layer Units, 3rd Layer Units, Train ERROR MSE,Test ERROR MSE,Train ERROR MAE,Test ERROR MAE 
Rectifier,Tanh,8,6,0.00263656014381,0.00253190174129,0.0355303844033,0.0355133697847
Rectifier,Tanh,8,8,0.00201172831538,0.00194934818875,0.0317554870766,0.0313451873067
Rectifier,Tanh,8,10,0.00186174891259,0.00175658136709,0.028496566589,0.0278483681414
Rectifier,Tanh,8,12,0.00136380631676,0.001268224945,0.0234444948116,0.0229705049183
Rectifier,ExpLin,2,4,0.00707956921183,0.00686062201416,0.057934490839,0.0574287490167
Rectifier,ExpLin,2,6,0.00709482143095,0.00687232997723,0.058034417971,0.0575151389133
Rectifier,ExpLin,2,8,0.0070478628148,0.00683174002066,0.0576997305436,0.0571805563065
Rectifier,ExpLin,2,10,0.00706019221966,0.00683735402987,0.0577792221193,0.0572438476836
Rectifier,ExpLin,2,12,0.00706591626793,0.00684329439214,0.0578008065984,0.0573127701465
Rectifier,ExpLin,4,4,0.00501574973645,0.0048289428895,0.049708433881,0.0493176893868
Rectifier,ExpLin,4,6,0.00565465819673,0.00545016265825,0.0521611677207,0.0515917539727
Rectifier,ExpLin,4,8,0.00507069248576,0.00486379644633,0.0500418262138,0.0495993302074
Rectifier,ExpLin,4,10,0.00533789731642,0.00513780624709,0.0504823689547,0.0500567038072
Rectifier,ExpLin,4,12,0.00361828200701,0.00342050741227,0.0414317528756,0.0412305379823
Rectifier,ExpLin,6,4,0.00271222915211,0.00252670768391,0.0351115301535,0.0342794093465
Rectifier,ExpLin,6,6,0.0026554722745,0.00255878649353,0.0354427672693,0.0353026823927
Rectifier,ExpLin,6,8,0.00470388954602,0.00457404685426,0.0482075369003,0.0479544498568
Rectifier,ExpLin,6,10,0.002618826432,0.00250374889187,0.0354529950537,0.0352197440163
Rectifier,ExpLin,6,12,0.00211005672404,0.00202857762864,0.0316531512535,0.031286434107
Rectifier,ExpLin,8,4,0.00266142670065,0.00253711689461,0.0360361588911,0.0356279641622
Rectifier,ExpLin,8,6,0.00267222524943,0.0025653133553,0.0358464279821,0.0359011160061
Rectifier,ExpLin,8,8,0.00202860725649,0.00196886743688,0.032030114594,0.0316378944189
Rectifier,ExpLin,8,10,0.00185698633159,0.00175345229774,0.028356331195,0.0277455450345
Rectifier,ExpLin,8,12,0.00136448660445,0.00126962501272,0.0235215492696,0.0230592628238
Sigmoid,Rectifier,2,4,0.00536420770177,0.00520263312483,0.0511106696323,0.0507491199567
Sigmoid,Rectifier,2,6,0.00567141164634,0.00545768236337,0.0522592043127,0.0519334488516
